#{"t_start": 1772898691.778584, "env_id": "None"}
r,l,t
4.0,20,19.142246
-12.269359,1,19.144351
-4.0,20,19.167801
-9.0,9,19.178459
2.0,20,19.202272
14.0,20,19.225801
2.0,20,19.250573
-6.0,20,19.272777
-13.0,13,19.28756
-2.0,20,19.312188
-11.0,5,19.320765
-14.0,8,19.331112
-6.0,20,19.354217
-2.0,20,19.377688
-14.0,6,19.385808
0.0,20,19.410415
10.0,20,19.433904
-17.0,7,19.443236
4.0,20,19.466611
-1.301602,14,19.482713
2.0,20,19.506726
-2.0,20,19.530974
2.0,20,19.554364
-6.0,20,19.576946
-4.0,10,19.589839
4.0,20,19.615286
-15.0,9,19.627246
-12.0,10,19.639511
-15.0,13,19.654685
-4.0,20,19.678135
4.0,20,19.70229
-12.0,8,19.713409
-4.0,20,19.737091
2.0,20,19.759541
-6.0,20,19.783447
0.0,20,19.805008
-2.0,20,19.829747
2.0,20,19.85349
4.0,20,19.877091
-13.0,1,19.879108
-4.0,20,19.902292
-13.0,1,19.904423
-2.0,20,19.928949
2.0,20,19.952604
10.0,20,19.97567
-11.0,3,19.980689
2.0,20,20.004782
2.0,20,20.028581
-4.0,20,20.052452
-13.324929,2,20.056161
8.0,20,20.080562
2.0,20,20.105259
-8.0,20,20.128986
0.0,20,20.152073
-4.0,10,20.165248
12.0,20,20.188253
4.0,20,20.211805
-15.0,1,20.213768
16.0,20,20.239532
-14.0,18,20.26255
6.0,20,20.285002
-13.0,1,20.287031
4.0,20,20.311123
2.0,20,20.335238
-15.0,19,20.358205
6.0,20,20.380177
-13.0,1,20.383496
-10.0,14,20.400201
4.0,20,20.422688
-8.0,18,20.444224
-8.504437,7,20.45529
4.0,20,20.477979
16.0,20,20.501518
4.0,20,20.52481
12.0,20,20.549111
-2.0,20,20.573042
-14.0,20,20.595399
8.0,20,20.618193
2.0,20,20.642262
-21.0,13,20.658005
-6.0,20,20.681177
-11.285072,2,20.684759
-10.0,20,20.708993
-7.0,7,20.717327
-6.0,20,20.740149
8.0,20,20.765302
-4.0,20,20.789242
0.0,20,20.812106
6.0,20,20.834972
0.0,20,20.859448
-16.0,6,20.869186
8.0,20,20.892691
-11.0,1,20.894883
-13.217971,2,20.898769
-16.0,4,20.90445
-8.0,4,20.909641
8.0,20,20.932861
-7.0,13,20.94815
-12.0,20,20.971717
8.0,20,20.994619
4.0,20,21.017743
8.0,20,21.040451
12.0,20,21.064339
6.0,20,21.089325
-13.0,3,21.093867
-7.0,7,21.102306
-9.0,3,21.108406
-12.437987,1,21.110544
-10.0,20,21.133736
-10.0,8,21.143964
0.0,20,21.169799
-10.0,2,21.173877
-10.929621,9,21.185699
-7.919598,6,21.19448
6.0,20,21.218058
-8.0,20,21.242379
-12.0,8,21.252862
0.0,20,21.277806
-10.0,6,21.286465
-21.0,9,21.297699
-2.0,20,21.320059
-14.0,20,21.343414
-13.0,9,21.355706
6.0,20,21.379107
6.0,20,21.40467
-17.0,7,21.412703
2.0,20,21.437221
-1.3075,20,21.459677
2.0,20,21.482627
-12.929913,1,21.486843
8.0,20,21.511562
0.0,20,21.534282
-12.0,20,21.557128
-6.0,20,21.580113
-12.94184,1,21.583213
-13.0,1,21.585255
-13.781487,2,21.588818
-8.0,20,21.613871
0.0,20,21.63761
-5.0,17,21.65741
8.0,20,21.680479
-8.0,20,21.704861
4.0,20,21.729091
-4.0,20,21.751752
0.0,20,21.774748
-13.87601,2,21.777805
